Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
8/21/2019,"1,400.90","1,384.60","1,404.40","1,384.60",279.34M,1.18%,,,,0.55%,85
8/20/2019,"1,384.60","1,391.90","1,396.70","1,384.50",304.16M,-0.53%,,,,-0.14%,84
8/19/2019,"1,391.90","1,370.60","1,395.80","1,370.60",372.56M,1.56%,,,,-0.01%,83
8/16/2019,"1,370.60","1,345.30","1,373.80","1,345.30",404.69M,1.88%,,,,0.67%,82
8/15/2019,"1,345.30","1,347.80","1,351.90","1,334.30",430.75M,-0.19%,,,,0.59%,81
8/14/2019,"1,347.80","1,391.10","1,391.10","1,344.60",503.50M,-3.11%,,,,0.06%,80
8/13/2019,"1,391.10","1,357.60","1,396.50","1,353.60",489.24M,2.47%,,,,0.29%,79
8/12/2019,"1,357.60","1,374.80","1,374.80","1,351.50",365.22M,-1.25%,,,,0.25%,78
8/9/2019,"1,374.80","1,392.20","1,392.20","1,365.20",460.33M,-1.25%,,,,-0.13%,77
8/8/2019,"1,392.20","1,359.70","1,392.40","1,359.70",497.71M,2.39%,,,,0.84%,76
8/7/2019,"1,359.70","1,351.10","1,362.90","1,328.50",428.66M,0.64%,,,,0.25%,75
8/6/2019,"1,351.10","1,329.70","1,355.70","1,329.70",416.05M,1.61%,,,,0.24%,74
8/5/2019,"1,329.70","1,386.10","1,386.10","1,318.60",565.73M,-4.07%,,,,-0.72%,73
8/2/2019,"1,386.10","1,409.80","1,409.80","1,374.50",497.37M,-1.68%,,,,-0.48%,72
8/1/2019,"1,409.80","1,417.30","1,449.60","1,403.20",556.77M,-0.53%,,,,-0.12%,71
7/31/2019,"1,417.30","1,438.50","1,448.30","1,402.90",601.83M,-1.47%,,,,1.43%,70
7/30/2019,"1,438.50","1,448.60","1,448.60","1,435.50",339.38M,-0.70%,,,,0.07%,69
7/29/2019,"1,448.60","1,449.30","1,451.00","1,437.40",340.82M,-0.05%,,,,0.57%,68
7/26/2019,"1,449.30","1,441.30","1,452.40","1,441.30",323.64M,0.56%,,,,-0.34%,67
7/25/2019,"1,441.30","1,452.80","1,452.80","1,438.80",341.51M,-0.79%,,,,-1.40%,66
