Date,Open,High,Low,Close,Change,,,,,,Change,Helper,,https://www.spglobal.com/spdji/en/indices/equity/sp-500-communication-services-sector/#overview
6/5/2019,155.8,155.99,155.99,155.99,-0.12%,,,,,,0.002,31,,
6/4/2019,153.37,155.8,155.8,155.8,-1.58%,,,,,,0.0104,30,,
6/3/2019,157.52,153.13,153.13,153.13,2.79%,,,,,,0.0169,29,,
5/31/2019,160.36,157.52,157.52,157.52,1.77%,,,,,,-0.0118,28,,
5/30/2019,160.85,160.81,160.81,160.81,0.02%,,,,,,0.0044,27,,
5/29/2019,162.65,160.85,160.85,160.85,1.11%,,,,,,0.006,26,,
5/28/2019,162.43,162.65,162.65,162.65,-0.14%,,,,,,0.0134,25,,
5/24/2019,162.52,162.38,162.38,162.38,0.09%,,,,,,-0.0124,24,,
5/23/2019,164.41,162.37,162.37,162.37,1.24%,,,,,,-0.0066,23,,
5/22/2019,164.37,164.44,164.44,164.44,-0.04%,,,,,,0.0014,22,,
5/21/2019,162.83,164.39,164.39,164.39,-0.96%,,,,,,-0.0114,21,,
5/20/2019,164.67,162.83,162.83,162.83,1.12%,,,,,,-0.0011,20,,
5/17/2019,165.46,164.76,164.76,164.76,0.42%,,,,,,-0.0085,19,,
5/16/2019,163.99,165.55,165.55,165.55,-0.95%,,,,,,0.0062,18,,
5/15/2019,160.57,163.97,163.97,163.97,-2.12%,,,,,,-0.0086,17,,
5/14/2019,160.21,160.58,160.58,160.58,-0.23%,,,,,,-0.0015,16,,
5/13/2019,164.08,160.19,160.19,160.19,2.37%,,,,,,-0.001,15,,
5/10/2019,163.92,164.33,164.33,164.33,-0.25%,,,,,,-0.004,14,,
5/9/2019,164.28,163.98,163.98,163.98,0.18%,,,,,,-0.0031,13,,
5/8/2019,164.84,164.28,164.28,164.28,0.34%,,,,,,0.0054,12,,
5/7/2019,166.95,164.87,164.87,164.87,1.25%,,,,,,0.0139,11,,
5/6/2019,167.1,167.14,167.14,167.14,-0.02%,,,,,,0.0329,10,,
5/3/2019,165.82,167.45,167.45,167.45,-0.98%,,,,,,0.024,9,,
5/2/2019,166.37,165.53,165.53,165.53,0.50%,,,,,,0.0024,8,,
5/1/2019,167.46,166.37,166.37,166.37,0.65%,,,,,,0.0404,7,,
4/30/2019,171.8,167.49,167.49,167.49,2.51%,,,,,,-0.0028,6,,
4/29/2019,170.47,171.89,171.89,171.89,-0.83%,,,,,,-0.0358,5,,
4/26/2019,168.95,170.44,170.44,170.44,-0.88%,,,,,,0.0345,4,,
4/25/2019,167.34,169.15,169.15,169.15,-1.08%,,,,,,-0.0356,3,,
4/24/2019,168.71,167.34,167.34,167.34,0.81%,,,,,,0.0369,2,,
4/23/2019,167.34,168.6,168.6,168.6,-0.75%,,,,,,0.0123,1,,
4/22/2019,,,,167.17,,,,,,,,,,
