Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
11/25/2019,952.54,947.89,953.06,947.89,267.27M,0.89%,,,,,8/23/2019,916.38,-2.75%,152,-104
11/22/2019,944.15,941.19,944.28,939.28,262.75M,0.65%,,,,,8/26/2019,925.72,1.02%,151,-103
11/21/2019,938.08,943.57,945.26,937.1,289.24M,-0.52%,,,,,8/27/2019,921.94,-0.41%,150,-102
11/20/2019,943,945.68,949.43,938.38,301.96M,-0.28%,,,,,8/28/2019,932.02,1.09%,149,-101
11/19/2019,945.67,952.17,952.42,942.94,279.49M,-0.97%,,,,,8/29/2019,945.77,1.48%,148,-100
11/18/2019,954.93,951.71,955.22,948.43,234.28M,0.34%,,,,,8/30/2019,940.47,-0.56%,147,-99
11/15/2019,951.74,954.2,954.58,949.71,215.01M,0.15%,,,,,9/3/2019,936.98,-0.37%,146,-98
11/14/2019,950.36,947.17,952.26,946.33,191.15M,0.35%,,,,,9/4/2019,945.05,0.86%,145,-97
11/13/2019,947.05,948.36,949.36,944.48,208.35M,-0.38%,,,,,9/5/2019,963.01,1.90%,144,-96
11/12/2019,950.7,952.89,955.52,948.99,225.13M,-0.08%,,,,,9/6/2019,965.06,0.21%,143,-95
11/11/2019,951.46,950.15,951.75,948.4,177.53M,-0.27%,,,,,9/9/2019,967.99,0.30%,142,-94
11/8/2019,954.04,955.31,955.33,950.08,227.72M,0.03%,,,,,9/10/2019,964.29,-0.38%,141,-93
11/7/2019,953.78,961.78,962.46,952.61,264.48M,-0.56%,,,,,9/11/2019,965.83,0.16%,140,-92
11/6/2019,959.19,959.87,959.87,954.94,244.06M,0.06%,,,,,9/12/2019,970.88,0.52%,139,-91
11/5/2019,958.64,958.28,960.62,954.83,273.06M,0.14%,,,,,9/13/2019,969.05,-0.19%,138,-90
11/4/2019,957.26,958.42,960.93,956.05,308.55M,0.11%,,,,,9/16/2019,956.4,-1.31%,137,-89
11/1/2019,956.17,955.12,956.97,953.11,238.07M,0.65%,,,,,9/17/2019,962.16,0.60%,136,-88
10/31/2019,950.01,953.99,956.2,945.91,237.96M,-0.46%,,,,,9/18/2019,961.5,-0.07%,135,-87
10/30/2019,954.41,947.59,954.83,944.84,221.68M,0.60%,,,,,9/19/2019,959.36,-0.22%,134,-86
10/29/2019,948.69,953.63,954.77,948.25,213.34M,-0.59%,,,,,9/20/2019,948.16,-1.17%,133,-85
10/28/2019,954.33,952.16,955.94,950.88,230.35M,0.38%,,,,,9/23/2019,950.35,0.23%,132,-84
10/25/2019,950.76,937.23,953.54,937.21,224.08M,-0.21%,,,,,9/24/2019,939.04,-1.19%,131,-83
10/24/2019,952.78,953.91,955.18,949.76,300.46M,0.05%,,,,,9/25/2019,948.15,0.97%,130,-82
10/23/2019,952.26,955.81,955.99,949.27,210.78M,-0.43%,,,,,9/26/2019,942.86,-0.56%,129,-81
10/22/2019,956.37,962.1,962.12,955.86,218.33M,-0.72%,,,,,9/27/2019,939.36,-0.37%,128,-80
10/21/2019,963.29,962.87,966.29,960.48,195.62M,0.47%,,,,,9/30/2019,947.27,0.84%,127,-79
10/18/2019,958.79,960.89,962.56,955.16,240.10M,-0.32%,,,,,10/1/2019,939.96,-0.77%,126,-78
10/17/2019,961.9,964.35,966.04,960.42,172.84M,0.32%,,,,,10/2/2019,923.3,-1.77%,125,-77
10/16/2019,958.85,955.34,960.42,955.34,177.54M,0.41%,,,,,10/3/2019,928.25,0.54%,124,-76
10/15/2019,954.96,948.38,957.38,948.31,180.60M,0.96%,,,,,10/4/2019,937.22,0.97%,123,-75
10/14/2019,945.88,944.41,948.01,943.32,159.31M,-0.06%,,,,,10/7/2019,933.12,-0.44%,122,-74
10/11/2019,946.48,946.02,954.27,945.53,217.83M,1.15%,,,,,10/8/2019,922.52,-1.14%,121,-73
10/10/2019,935.74,931.55,939.72,930.86,192.10M,0.53%,,,,,10/9/2019,930.77,0.89%,120,-72
10/9/2019,930.77,928.7,933.57,926.52,157.15M,0.89%,,,,,10/10/2019,935.74,0.53%,119,-71
10/8/2019,922.52,925.86,932.56,922.49,204.66M,-1.14%,,,,,10/11/2019,946.48,1.15%,118,-70
10/7/2019,933.12,934.12,938.64,930.24,192.23M,-0.44%,,,,,10/14/2019,945.88,-0.06%,117,-69
10/4/2019,937.22,929.56,937.43,929.23,180.78M,0.97%,,,,,10/15/2019,954.96,0.96%,116,-68
10/3/2019,928.25,922.22,928.29,911.12,235.28M,0.54%,,,,,10/16/2019,958.85,0.41%,115,-67
10/2/2019,923.3,934.36,934.36,919.17,286.44M,-1.77%,,,,,10/17/2019,961.9,0.32%,114,-66
10/1/2019,939.96,949.49,953.43,939.76,218.37M,-0.77%,,,,,10/18/2019,958.79,-0.32%,113,-65
9/30/2019,947.27,941.04,948.49,940.31,184.01M,0.84%,,,,,10/21/2019,963.29,0.47%,112,-64
9/27/2019,939.36,946.27,946.41,934.34,188.71M,-0.37%,,,,,10/22/2019,956.37,-0.72%,111,-63
9/26/2019,942.86,948.55,949.22,938.88,193.25M,-0.56%,,,,,10/23/2019,952.26,-0.43%,110,-62
9/25/2019,948.15,942.77,949.56,935.24,195.83M,0.97%,,,,,10/24/2019,952.78,0.05%,109,-61
9/24/2019,939.04,954.84,957.86,936.86,217.03M,-1.19%,,,,,10/25/2019,950.76,-0.21%,108,-60
9/23/2019,950.35,944.79,953.02,944.11,184.61M,0.23%,,,,,10/28/2019,954.33,0.38%,107,-59
9/20/2019,948.16,959.66,963.4,947.92,300.03M,-1.17%,,,,,10/29/2019,948.69,-0.59%,106,-58
9/19/2019,959.36,962.84,964.64,958.79,176.59M,-0.22%,,,,,10/30/2019,954.41,0.60%,105,-57
9/18/2019,961.5,961.36,962.27,951.96,185.74M,-0.07%,,,,,10/31/2019,950.01,-0.46%,104,-56
9/17/2019,962.16,953.32,962.42,952.84,223.96M,0.60%,,,,,11/1/2019,956.17,0.65%,103,-55
9/16/2019,956.4,961.83,962.66,954.93,229.45M,-1.31%,,,,,11/4/2019,957.26,0.11%,102,-54
9/13/2019,969.05,972.59,974.44,968.14,203.29M,-0.19%,,,,,11/5/2019,958.64,0.14%,101,-53
9/12/2019,970.88,970.06,976.5,968.62,230.86M,0.52%,,,,,11/6/2019,959.19,0.06%,100,-52
9/11/2019,965.83,962.87,968.06,959.56,237.69M,0.16%,,,,,11/7/2019,953.78,-0.56%,99,-51
9/10/2019,964.29,964.21,964.29,954.71,306.46M,-0.38%,,,,,11/8/2019,954.04,0.03%,98,-50
