Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
12/31/2019,385.85,382.62,385.94,382.55,52.38M,0.75%,,,7/22/2019,365.66,-0.25%,159
12/30/2019,382.97,384.55,384.92,382.57,42.46M,-0.40%,,,7/23/2019,372.92,1.99%,158
12/27/2019,384.5,386.66,386.71,384.06,44.70M,-0.25%,,,7/24/2019,372.84,-0.02%,157
12/26/2019,385.48,384.29,385.5,383.45,38.72M,0.41%,,,7/25/2019,369.95,-0.78%,156
12/24/2019,383.91,383.61,384.79,383.1,29.75M,0.07%,,,7/26/2019,370.11,0.04%,155
12/23/2019,383.65,382.28,383.79,381.26,67.86M,0.41%,,,7/29/2019,368.87,-0.34%,154
12/20/2019,382.07,382.55,382.9,381.09,175.48M,0.45%,,,7/30/2019,371.05,0.59%,153
12/19/2019,380.36,379.67,381.12,379.22,81.02M,0.33%,,,7/31/2019,365.54,-1.48%,152
12/18/2019,379.11,379.75,380.02,376.39,98.89M,-0.24%,,,8/1/2019,363.47,-0.57%,151
12/17/2019,380.02,379.61,381.45,378.51,96.61M,0.18%,,,8/2/2019,359.06,-1.21%,150
12/16/2019,379.33,379.65,381.28,378.89,98.47M,0.47%,,,8/5/2019,352.51,-1.82%,149
12/13/2019,377.56,380.67,382.52,377.56,79.21M,-0.81%,,,8/6/2019,352.8,0.08%,148
12/12/2019,380.66,375.67,381.1,374.98,101.67M,1.44%,,,8/7/2019,357.46,1.32%,147
12/11/2019,375.27,374,375.76,373.58,85.32M,0.71%,,,8/8/2019,364.21,1.89%,146
12/10/2019,372.62,373.99,374.72,371.98,70.61M,-0.59%,,,8/9/2019,361.64,-0.71%,145
12/9/2019,374.82,376.17,376.89,374.31,85.88M,-0.13%,,,8/12/2019,355.94,-1.58%,144
12/6/2019,375.29,373.64,376.13,373.64,77.73M,1.02%,,,8/13/2019,359.97,1.13%,143
12/5/2019,371.5,370.23,371.9,368.55,67.97M,0.66%,,,8/14/2019,348.25,-3.26%,142
12/4/2019,369.07,370.55,374.02,369.03,83.66M,-0.04%,,,8/15/2019,348.22,-0.01%,141
12/3/2019,369.22,368.98,369.51,366.37,95.02M,-0.67%,,,8/16/2019,354.34,1.76%,140
12/2/2019,371.7,374.4,375.14,371.64,85.67M,-0.94%,,,8/19/2019,357.08,0.77%,139
11/29/2019,375.24,376.14,376.68,374.33,42.60M,-0.46%,,,8/20/2019,352.74,-1.22%,138
11/27/2019,376.96,375.6,377.39,374.26,67.57M,0.20%,,,8/21/2019,354.6,0.53%,137
11/26/2019,376.2,374.22,376.44,373.16,121.53M,0.52%,,,8/22/2019,352.12,-0.70%,136
11/25/2019,374.24,372.73,374.4,372.73,88.16M,0.62%,,,8/23/2019,343.54,-2.44%,135
11/22/2019,371.93,372.2,373.5,371.59,78.32M,0.15%,,,8/26/2019,344.55,0.29%,134
11/21/2019,371.36,371.83,372.23,370.26,67.35M,-0.12%,,,8/27/2019,344.88,0.10%,133
11/20/2019,371.81,375.35,375.74,371.36,83.64M,-1.18%,,,8/28/2019,347.86,0.86%,132
11/19/2019,376.26,378.51,378.74,375.34,76.27M,-0.32%,,,8/29/2019,351.92,1.17%,131
11/18/2019,377.47,377.3,378.44,376.38,69.41M,-0.22%,,,8/30/2019,354.28,0.67%,130
11/15/2019,378.32,380.38,380.91,377.4,71.35M,-0.07%,,,9/3/2019,351.16,-0.88%,129
11/14/2019,378.6,375.43,378.95,375.43,60.96M,0.49%,,,9/4/2019,354.95,1.08%,128
11/13/2019,376.75,377.36,378.56,375.87,72.09M,-0.48%,,,9/5/2019,355.68,0.21%,127
11/12/2019,378.56,377.35,380.08,376.85,67.98M,0.42%,,,9/6/2019,357.38,0.48%,126
11/11/2019,376.99,375.62,377.33,374.93,63.18M,-0.11%,,,9/9/2019,355.58,-0.50%,125
11/8/2019,377.42,376.13,377.42,374.85,82.74M,0.39%,,,9/10/2019,359.08,0.98%,124
11/7/2019,375.94,374.91,376.28,374.41,105.26M,0.65%,,,9/11/2019,362.54,0.96%,123
11/6/2019,373.53,373.96,374.42,372.03,87.11M,-0.09%,,,9/12/2019,365.16,0.72%,122
11/5/2019,373.87,372.84,375.76,372.13,118.89M,0.25%,,,9/13/2019,369.31,1.14%,121
11/4/2019,372.93,372.21,373.77,371.07,97.30M,0.78%,,,9/16/2019,363.3,-1.63%,120
11/1/2019,370.03,366.28,370.1,366.17,96.34M,1.45%,,,9/17/2019,365.87,0.71%,119
10/31/2019,364.73,368.38,369.38,362.96,123.23M,-1.10%,,,9/18/2019,366.17,0.08%,118
10/30/2019,368.78,367.45,369.47,365.9,75.27M,-0.01%,,,9/19/2019,366.72,0.15%,117
10/29/2019,368.83,365.85,370.45,364,65.22M,0.67%,,,9/20/2019,366.12,-0.16%,116
10/28/2019,366.38,366.62,368.26,365.27,69.17M,0.29%,,,9/23/2019,365.23,-0.24%,115
10/25/2019,365.33,362.19,366.14,360.95,89.80M,1.04%,,,9/24/2019,361.71,-0.96%,114
10/24/2019,361.56,361.56,363.54,359.45,84.97M,0.37%,,,9/25/2019,363.73,0.56%,113
10/23/2019,360.24,359.19,361.68,358.85,91.04M,0.66%,,,9/26/2019,362.97,-0.21%,112
10/22/2019,357.88,359,360.26,356.31,78.49M,-0.41%,,,9/27/2019,362.03,-0.26%,111
10/21/2019,359.34,362.65,363.21,359.31,71.74M,-0.35%,,,9/30/2019,364.66,0.73%,110
10/18/2019,360.6,361,362.14,359.15,66.37M,-0.10%,,,10/1/2019,356.28,-2.30%,109
10/17/2019,360.97,361.19,363.86,360.59,56.52M,0.19%,,,10/2/2019,349.6,-1.87%,108
10/16/2019,360.28,359.78,362.78,359.44,70.09M,0.30%,,,10/3/2019,351.1,0.43%,107
10/15/2019,359.19,358.63,361.17,357.64,64.41M,0.68%,,,10/4/2019,352.92,0.52%,106
10/14/2019,356.78,358.33,359.17,356.71,65.62M,-0.75%,,,10/7/2019,351.82,-0.31%,105
10/11/2019,359.46,355.55,362.75,355.55,109.97M,1.91%,,,10/8/2019,345.75,-1.73%,104
10/10/2019,352.72,350.84,354.28,349.73,115.74M,0.98%,,,10/9/2019,349.29,1.02%,103
10/9/2019,349.29,347.83,350.67,347.08,71.09M,1.02%,,,10/10/2019,352.72,0.98%,102
10/8/2019,345.75,349.59,349.59,345.54,89.45M,-1.73%,,,10/11/2019,359.46,1.91%,101
10/7/2019,351.82,352.03,355.24,350.76,75.61M,-0.31%,,,10/14/2019,356.78,-0.75%,100
10/4/2019,352.92,351.8,353.74,351.12,74.37M,0.52%,,,10/15/2019,359.19,0.68%,99
10/3/2019,351.1,349.32,351.15,345.55,77.39M,0.43%,,,10/16/2019,360.28,0.30%,98
10/2/2019,349.6,354.09,354.09,346.54,90.42M,-1.87%,,,10/17/2019,360.97,0.19%,97
10/1/2019,356.28,365.72,366.67,356.15,84.21M,-2.30%,,,10/18/2019,360.6,-0.10%,96
9/30/2019,364.66,362.22,365.46,361.91,69.27M,0.73%,,,10/21/2019,359.34,-0.35%,95
9/27/2019,362.03,363.52,365.01,360.48,73.14M,-0.26%,,,10/22/2019,357.88,-0.41%,94
9/26/2019,362.97,364.21,364.33,361.28,63.58M,-0.21%,,,10/23/2019,360.24,0.66%,93
9/25/2019,363.73,361.48,364.39,360.38,72.36M,0.56%,,,10/24/2019,361.56,0.37%,92
9/24/2019,361.71,365.63,366.62,360.77,82.10M,-0.96%,,,10/25/2019,365.33,1.04%,91
9/23/2019,365.23,364.36,366.14,363.56,72.67M,-0.24%,,,10/28/2019,366.38,0.29%,90
9/20/2019,366.12,367.11,368.45,364.39,122.69M,-0.16%,,,10/29/2019,368.83,0.67%,89
9/19/2019,366.72,367.31,368.9,366.23,71.51M,0.15%,,,10/30/2019,368.78,-0.01%,88
9/18/2019,366.17,366.13,366.59,362.87,81.99M,0.08%,,,10/31/2019,364.73,-1.10%,87
9/17/2019,365.87,363.22,366.66,361.79,92.62M,0.71%,,,11/1/2019,370.03,1.45%,86
9/16/2019,363.3,367.53,368.45,362.77,84.61M,-1.63%,,,11/4/2019,372.93,0.78%,85
9/13/2019,369.31,366.77,370.19,366.77,94.12M,1.14%,,,11/5/2019,373.87,0.25%,84
9/12/2019,365.16,364.74,366.54,362.29,96.56M,0.72%,,,11/6/2019,373.53,-0.09%,83
9/11/2019,362.54,359.02,362.54,357.21,86.63M,0.96%,,,11/7/2019,375.94,0.65%,82
9/10/2019,359.08,354.97,359.08,354.51,112.46M,0.98%,,,11/8/2019,377.42,0.39%,81
9/9/2019,355.58,358.12,358.19,354.77,85.51M,-0.50%,,,11/11/2019,376.99,-0.11%,80
9/6/2019,357.38,356.98,358.16,355.2,70.49M,0.48%,,,11/12/2019,378.56,0.42%,79
9/5/2019,355.68,357.27,359.26,355.63,91.91M,0.21%,,,11/13/2019,376.75,-0.48%,78
9/4/2019,354.95,353.34,355.57,353.04,53.88M,1.08%,,,11/14/2019,378.6,0.49%,77
9/3/2019,351.16,351.91,351.96,348.69,71.07M,-0.88%,,,11/15/2019,378.32,-0.07%,76
8/30/2019,354.28,354.66,355.78,352.82,73.08M,0.67%,,,11/18/2019,377.47,-0.22%,75
8/29/2019,351.92,351,353.45,351,65.17M,1.17%,,,11/19/2019,376.26,-0.32%,74
8/28/2019,347.86,344.37,348.48,342.96,72.08M,0.86%,,,11/20/2019,371.81,-1.18%,73
8/27/2019,344.88,346.47,348.05,344.13,77.15M,0.10%,,,11/21/2019,371.36,-0.12%,72
